Date,Company,City,ZIP,County,Employees,Regional Commission,MSA
Apr 12,"The Finish Line, Inc.",Douglasville,30135,Douglas County,28,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 12,"The Finish Line, Inc.",Lithonia,30038,DeKalb County,19,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 15,Inspire Restaurant Group LLC,Atlanta,30312,Fulton County,30,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 12,"The Finish Line, Inc.",Gainesville,30501,Hall County,12,Georgia Mountains,"Gainesville, GA"
Apr 12,"The Finish Line, Inc.",Centerville,31028,Houston County,21,Middle Georgia,"Warner Robins, GA"
Apr 12,"The Finish Line, Inc.",Commerce,30529,Jackson County,18,Northeast,"Jefferson, GA"
Apr 12,"The Finish Line, Inc.",Lawrenceville,30043,Gwinnett County,19,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"The Finish Line, Inc.",Atlanta,30326,Cobb County,31,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"The Finish Line, Inc.",Atlanta,30346,Cobb County,15,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"The Finish Line, Inc.",Alpharetta,30022,Fulton County,4,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"The Finish Line, Inc.",Buford,30519,Gwinnett County,12,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"The Finish Line, Inc.",Augusta,30909,Richmond County,5,CSRA,"Augusta-Richmond County, GA-SC"
Apr 01,"The Finish Line, Inc.",Savannah,31406,Chatham County,2,Coastal,"Savannah, GA"
Apr 01,"The Finish Line, Inc.",Kennesaw,30144,Cobb County,9,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"The Finish Line, Inc.",Atlanta,30339,Cobb County,15,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"The Finish Line, Inc.",Morrow,30260,Clayton County,16,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 12,"The Finish Line, Inc.",Kennesaw,30144,Cobb County,24,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 12,"The Finish Line, Inc.",Alpharetta,30022,Fulton County,11,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 12,"The Finish Line, Inc.",Augusta,30909,Richmond County,21,CSRA,"Augusta-Richmond County, GA-SC"
Apr 12,"The Finish Line, Inc.",Savannah,31406,Chatham County,14,Coastal,"Savannah, GA"
Apr 12,"The Finish Line, Inc.",Morrow,30260,Clayton County,15,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 12,"The Finish Line, Inc.",Atlanta,30339,Cobb County,30,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 12,"The Finish Line, Inc.",Burford,30519,Gwinnett County,40,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 28,Aqua Salon and Spa LLC,Martinez,30907,Columbia County,8,CSRA,"Augusta-Richmond County, GA-SC"
Apr 20,Stone Mountain Park,Stone Mountain,30087,DeKalb County,52,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 27,"Immediate Credit Recovery, Inc.",Kennesaw,30144,Cobb County,145,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 08,Elite Comfort Solutions,Newnan,30265,Coweta County,8,Three Rivers,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 08,Elite Comfort Solutions,Newnane,30265,Coweta County,1,Three Rivers,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 08,Elite Comfort Solutions,Americus,31719,Sumter County,2,River Valley,"Americus, GA"
Mar 18,Miguel Wilson Collection,Atlanta,30326,Fulton County,10,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 06,Primrose School Franchising Company LLC,Atlanta,30339,Cobb County,59,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 20,"Harlem Globetrotters International, Inc.",Peachtree Corners,30092,Gwinnett County,175,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 25,PCAM LLC,Atlanta,30354,Fulton County,100,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 27,"Sysco Atlanta, LLC",College Park,30337,Fulton County,176,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 31,Kathy and Company LLC,Kennesaw,30152,Cobb County,3,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 13,Kabobs Acquisition  LLC,Lake City,30260,Clayton County,175,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 21,Miller Ale House,Alpharetta,30004,Fulton County,45,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,Augusta Sportswear Brands,Grovetown,30813,Columbia County,141,CSRA,"Augusta-Richmond County, GA-SC"
Mar 21,Miller's Ale House,McDonough,30253,Henry County,110,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,InterContinental Buckhead Atlanta,Atlanta,30326,Fulton County,210,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 23,Mt. Bailey Holdings LLC,Atlanta,30309,Fulton County,109,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 03,Safran Aerosystems,Peachtree City,30269,Henry County,8,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 25,Crestline Hotels & Resorts,Peachtree Corners,30092,Fulton County,72,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 16,Scholastic Book Fairs,Kennesaw,30152,Cobb County,74,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 20,Crowne Plaza Atlanta Airport,Atlanta,30344,Fulton County,57,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
