Area,Date,date,Claims
Bryan County,03/28/2020,Mar 28,351
Bryan County,04/04/2020,Apr 04,1644
Bryan County,04/11/2020,Apr 11,1271
Bryan County,04/18/2020,Apr 18,1116
Bryan County,04/25/2020,Apr 25,1001
Bryan County,05/02/2020,May 02,917
Bryan County,05/09/2020,May 09,821
Bryan County,05/16/2020,May 16,724
Bryan County,05/23/2020,May 23,583
Bryan County,05/30/2020,May 30,549
Bryan County,06/06/2020,Jun 06,401
Bryan County,06/13/2020,Jun 13,457
Bryan County,06/20/2020,Jun 20,454
Bryan County,06/27/2020,Jun 27,406
Bryan County,07/04/2020,Jul 04,303
Bryan County,07/11/2020,Jul 11,358
Bryan County,07/18/2020,Jul 18,324
Bryan County,07/25/2020,Jul 25,237
Bulloch County,03/07/2020,Mar 07,111
Bulloch County,03/14/2020,Mar 14,42
Bulloch County,03/21/2020,Mar 21,86
Bulloch County,03/28/2020,Mar 28,736
Bulloch County,04/04/2020,Apr 04,2633
Bulloch County,04/11/2020,Apr 11,2078
Bulloch County,04/18/2020,Apr 18,1675
Bulloch County,04/25/2020,Apr 25,1687
Bulloch County,05/02/2020,May 02,1759
Bulloch County,05/09/2020,May 09,1721
Bulloch County,05/16/2020,May 16,1472
Bulloch County,05/23/2020,May 23,1549
Bulloch County,05/30/2020,May 30,957
Bulloch County,06/06/2020,Jun 06,910
Bulloch County,06/13/2020,Jun 13,1114
Bulloch County,06/20/2020,Jun 20,936
Bulloch County,06/27/2020,Jun 27,799
Bulloch County,07/04/2020,Jul 04,897
Bulloch County,07/11/2020,Jul 11,940
Bulloch County,07/18/2020,Jul 18,829
Bulloch County,07/25/2020,Jul 25,527
Burke County,03/07/2020,Mar 07,26
Burke County,03/14/2020,Mar 14,14
Burke County,03/21/2020,Mar 21,10
Burke County,03/28/2020,Mar 28,85
Burke County,04/04/2020,Apr 04,438
Burke County,04/11/2020,Apr 11,419
Burke County,04/18/2020,Apr 18,376
Burke County,04/25/2020,Apr 25,353
Burke County,05/02/2020,May 02,339
Burke County,05/09/2020,May 09,264
Burke County,05/16/2020,May 16,219
Burke County,05/23/2020,May 23,194
Burke County,05/30/2020,May 30,200
Burke County,06/06/2020,Jun 06,206
Burke County,06/13/2020,Jun 13,236
Burke County,06/20/2020,Jun 20,165
Burke County,06/27/2020,Jun 27,181
Burke County,07/04/2020,Jul 04,190
Burke County,07/11/2020,Jul 11,335
Burke County,07/18/2020,Jul 18,330
Burke County,07/25/2020,Jul 25,163
Butts County,03/07/2020,Mar 07,11
Butts County,03/14/2020,Mar 14,14
Butts County,03/21/2020,Mar 21,19
Butts County,03/28/2020,Mar 28,225
Butts County,04/04/2020,Apr 04,749
Butts County,04/11/2020,Apr 11,647
Butts County,04/18/2020,Apr 18,543
Butts County,04/25/2020,Apr 25,572
Butts County,05/02/2020,May 02,760
Butts County,05/09/2020,May 09,671
Butts County,05/16/2020,May 16,437
Butts County,05/23/2020,May 23,304
Butts County,05/30/2020,May 30,341
Butts County,06/06/2020,Jun 06,257
Butts County,06/13/2020,Jun 13,272
Butts County,06/20/2020,Jun 20,269
Butts County,06/27/2020,Jun 27,245
Butts County,07/04/2020,Jul 04,237
Butts County,07/11/2020,Jul 11,239
Butts County,07/18/2020,Jul 18,249
Butts County,07/25/2020,Jul 25,176
Calhoun County,03/07/2020,Mar 07,8
Calhoun County,03/14/2020,Mar 14,10
Calhoun County,03/21/2020,Mar 21,14
Calhoun County,03/28/2020,Mar 28,74
Calhoun County,04/04/2020,Apr 04,212
Calhoun County,04/11/2020,Apr 11,222
Calhoun County,04/18/2020,Apr 18,187
Calhoun County,04/25/2020,Apr 25,221
Calhoun County,05/02/2020,May 02,202
Calhoun County,05/09/2020,May 09,171
Calhoun County,05/16/2020,May 16,209
Calhoun County,05/23/2020,May 23,124
Calhoun County,05/30/2020,May 30,114
Calhoun County,06/06/2020,Jun 06,137
Calhoun County,06/13/2020,Jun 13,124
Calhoun County,06/20/2020,Jun 20,106
Calhoun County,06/27/2020,Jun 27,90
Calhoun County,07/04/2020,Jul 04,78
Calhoun County,07/11/2020,Jul 11,96
Calhoun County,07/18/2020,Jul 18,111
